                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
NON   NON NON 00 NON 00 SAB 17 NON 00 NON 00   NON NON 00 NON 00 NON 00 NON 00 NON 00 - - - . - - - -- --
